#Flow field above the buildings
#delta is the height of the boundary layer, Uinf is U(delta)
#U,V,W are the velocity components along X,Y,Z 
                    
             z/delta              U/Uinf         sigmaU/Uinf         sigmaW/Uinf         sigmaV/Uinf           uw/Uinf^2           uv/Uinf^2          TKE/Uinf^2      P delta/Uinf^3    eps delta/Uinf^3
            1.00e-01            4.27e-01            1.11e-01            5.72e-02                 NaN           -1.98e-03                 NaN            1.07e-02            6.38e-03            9.10e-03
            1.09e-01            4.58e-01            1.10e-01            5.98e-02            7.34e-02           -1.87e-03           -2.24e-04            1.10e-02            5.05e-03            7.72e-03
            1.18e-01            4.85e-01            1.08e-01            6.26e-02            7.19e-02           -1.78e-03            2.59e-05            1.09e-02            4.55e-03            6.89e-03
            1.27e-01            5.06e-01            1.06e-01            6.49e-02            6.97e-02           -1.90e-03            1.38e-04            1.06e-02            4.46e-03            6.51e-03
            1.36e-01            5.19e-01            1.06e-01            6.55e-02            7.19e-02           -1.99e-03            3.13e-04            1.08e-02            4.27e-03            5.94e-03
            1.45e-01            5.33e-01            1.07e-01            6.61e-02            7.17e-02           -2.04e-03            4.02e-04            1.09e-02            3.78e-03            5.31e-03
            1.55e-01            5.50e-01            1.04e-01            6.75e-02            6.92e-02           -2.08e-03            2.79e-04            1.05e-02            3.96e-03            4.39e-03
            1.64e-01            5.64e-01            1.05e-01            6.72e-02            6.92e-02           -2.18e-03            5.30e-04            1.06e-02            3.75e-03            3.65e-03
            1.73e-01            5.78e-01            1.01e-01            6.71e-02            6.96e-02           -1.97e-03            4.80e-04            1.02e-02            3.23e-03            3.49e-03
            1.82e-01            5.88e-01            1.04e-01            6.86e-02            6.81e-02           -2.29e-03            3.38e-04            1.05e-02            2.90e-03            2.87e-03
            2.05e-01            6.22e-01            9.98e-02            6.70e-02            6.82e-02           -2.17e-03            5.36e-04            9.96e-03            2.55e-03            2.56e-03
            2.27e-01            6.43e-01            9.85e-02            6.73e-02            6.70e-02           -2.06e-03            5.31e-04            9.76e-03            2.33e-03            2.28e-03
            2.50e-01            6.66e-01            9.61e-02            6.64e-02            6.62e-02           -2.07e-03            4.23e-04            9.41e-03            1.99e-03            2.00e-03
            2.73e-01            6.79e-01            9.63e-02            6.74e-02            6.67e-02           -2.18e-03            6.05e-04            9.53e-03            1.72e-03            1.81e-03
            2.95e-01            7.00e-01            9.45e-02            6.62e-02            6.56e-02           -2.09e-03            4.46e-04            9.19e-03            1.47e-03            1.72e-03
            3.18e-01            7.21e-01            9.27e-02            6.50e-02            6.45e-02           -2.01e-03            2.88e-04            8.86e-03            1.21e-03            1.48e-03
            3.64e-01            7.50e-01            8.92e-02            6.33e-02            6.51e-02           -2.03e-03            3.71e-04            8.48e-03            1.06e-03            1.38e-03
            4.09e-01            7.85e-01            8.34e-02            6.20e-02            6.38e-02           -1.74e-03            2.85e-04            7.80e-03            8.99e-04            1.25e-03
            4.55e-01            8.07e-01            8.22e-02            6.09e-02            6.27e-02           -1.76e-03            1.96e-04            7.55e-03            8.68e-04            1.13e-03
            5.00e-01            8.34e-01            8.09e-02            6.05e-02            6.11e-02           -1.77e-03            2.15e-04            7.30e-03            8.41e-04            1.02e-03
            5.45e-01            8.56e-01            7.65e-02            5.91e-02            5.98e-02           -1.66e-03            2.46e-04            6.78e-03            8.37e-04            9.93e-04
            5.91e-01            8.80e-01            7.34e-02            5.66e-02            5.60e-02           -1.48e-03            1.65e-04            6.15e-03            8.29e-04            8.71e-04
            6.36e-01            9.04e-01            7.02e-02            5.39e-02            5.42e-02           -1.36e-03            1.41e-04            5.65e-03            7.44e-04            7.75e-04
            6.82e-01            9.23e-01            6.55e-02            5.17e-02            4.92e-02           -1.20e-03            1.09e-04            4.91e-03            5.88e-04            6.49e-04
            7.27e-01            9.44e-01            5.97e-02            4.78e-02            4.46e-02           -9.85e-04            1.01e-04            4.10e-03            3.96e-04            5.40e-04
            7.73e-01            9.62e-01            5.38e-02            4.45e-02            3.92e-02           -7.83e-04            9.34e-05            3.34e-03            1.69e-04            4.58e-04
            8.18e-01            9.78e-01            4.66e-02            3.99e-02            3.38e-02           -5.71e-04            7.65e-05            2.55e-03            6.97e-05            3.77e-04
