  Configuration Full
  Location of trees (y/H): -4.60 -3.90 -3.20 -2.50 -1.80 -1.10 -0.40  0.40  1.10  1.80  2.50  3.20  3.90  4.60
   x/H    y/H    z/H     C*
  1.25  -4.90   1.00  16.28
  1.25  -4.90   0.20   9.74
  1.25  -4.90   0.60  11.00
  1.25  -4.90   0.80  12.01
  0.75  -4.90   1.00  22.63
  0.75  -4.90   0.20  29.78
  0.75  -4.90   0.40  23.49
  0.75  -4.90   0.60  24.24
  0.75  -4.90   0.80  23.92
  0.10  -4.50   0.20 203.67
  0.10  -4.50   0.40 176.18
  0.10  -4.50   0.60 136.19
  0.10  -4.50   0.80 137.69
  0.10  -4.50   1.00 120.29
  0.30  -4.50   0.20 167.26
  0.30  -4.50   0.40 131.19
  0.30  -4.50   0.60 101.91
  0.30  -4.50   0.80 108.68
  0.30  -4.50   1.00  78.56
  0.50  -4.50   0.20 114.61
  0.50  -4.50   0.40  94.54
  0.50  -4.50   0.60  78.05
  0.50  -4.50   0.80  70.28
  0.50  -4.50   1.00  49.01
  1.50  -4.50   0.20  19.87
  1.50  -4.50   0.40  28.39
  1.50  -4.50   0.60  31.00
  1.50  -4.50   0.80  26.72
  1.50  -4.50   1.00  18.53
  1.70  -4.50   0.20  13.69
  1.70  -4.50   0.40  19.50
  1.70  -4.50   0.60  26.29
  1.70  -4.50   0.80  20.48
  1.70  -4.50   1.00  14.78
  1.90  -4.50   0.20  10.24
  1.90  -4.50   0.40  13.28
  1.90  -4.50   0.60  16.84
  1.90  -4.50   0.80  14.90
  1.90  -4.50   1.00  13.39
  1.25  -4.50   1.00  17.42
  1.25  -4.50   0.20  20.49
  1.25  -4.50   0.60  22.70
  1.25  -4.50   0.80  20.27
  0.75  -4.50   1.00  23.27
  0.75  -4.50   0.20  52.61
  0.75  -4.50   0.40  36.57
  0.75  -4.50   0.60  35.09
  0.75  -4.50   0.80  33.46
  1.00  -4.00   1.00  40.02
  1.00  -4.00   0.20  50.70
  1.00  -4.00   0.40  58.95
  1.00  -4.00   0.60  57.06
  1.00  -4.00   0.80  56.74
  1.25  -4.00   1.00  30.75
  1.25  -4.00   0.20  45.78
  1.25  -4.00   0.40  44.40
  1.25  -4.00   0.60  39.88
  1.25  -4.00   0.80  40.65
  0.75  -4.00   1.00  51.48
  0.75  -4.00   0.20  80.96
  0.75  -4.00   0.40  74.54
  0.75  -4.00   0.60  74.02
  0.75  -4.00   0.80  74.97
  0.10  -3.50   0.20 388.53
  0.10  -3.50   0.40 304.92
  0.10  -3.50   0.60 249.68
  0.10  -3.50   0.80 230.56
  0.10  -3.50   1.00 240.19
  0.30  -3.50   0.20 294.48
  0.30  -3.50   0.40 175.15
  0.30  -3.50   0.60 177.44
  0.30  -3.50   0.80 194.30
  0.30  -3.50   1.00 168.53
  0.50  -3.50   0.20 150.76
  0.50  -3.50   0.40 120.71
  0.50  -3.50   0.60 123.57
  0.50  -3.50   0.80 141.55
  0.50  -3.50   1.00 116.88
  1.50  -3.50   0.20  56.52
  1.50  -3.50   0.40  75.29
  1.50  -3.50   0.60  80.90
  1.50  -3.50   0.80  84.87
  1.50  -3.50   1.00  63.22
  1.70  -3.50   0.20  50.93
  1.70  -3.50   0.40  67.56
  1.70  -3.50   0.60  73.60
  1.70  -3.50   0.80  66.11
  1.70  -3.50   1.00  52.78
  1.90  -3.50   0.20  42.45
  1.90  -3.50   0.40  54.29
  1.90  -3.50   0.60  57.87
  1.90  -3.50   0.80  49.16
  1.90  -3.50   1.00  46.12
  1.00  -3.50   1.00  76.42
  1.00  -3.50   0.20  67.49
  1.00  -3.50   0.40  73.87
  1.00  -3.50   0.60  71.00
  1.00  -3.50   0.80  92.45
  1.25  -3.50   1.00  70.80
  1.25  -3.50   0.20  68.51
  1.25  -3.50   0.40  93.52
  1.25  -3.50   0.60  90.79
  1.25  -3.50   0.80  99.85
  0.75  -3.50   1.00  93.31
  0.75  -3.50   0.20  83.51
  0.75  -3.50   0.40  77.43
  0.75  -3.50   0.60  88.66
  0.75  -3.50   0.80 114.76
  1.00  -3.00   1.00 141.47
  1.00  -3.00   0.20  99.41
  1.00  -3.00   0.40 123.71
  1.00  -3.00   0.60 123.34
  1.00  -3.00   0.80 138.35
  1.25  -3.00   1.00 114.26
  1.25  -3.00   0.20 100.21
  1.25  -3.00   0.40 127.63
  1.25  -3.00   0.60 146.06
  1.25  -3.00   0.80 155.51
  0.75  -3.00   1.00 165.16
  0.75  -3.00   0.20 132.80
  0.75  -3.00   0.40 117.97
  0.75  -3.00   0.60 121.60
  0.75  -3.00   0.80 188.76
  0.10  -2.80   0.20 734.75
  0.10  -2.80   0.40 601.56
  0.10  -2.80   0.60 532.92
  0.10  -2.80   0.80 488.16
  0.10  -2.80   1.00 421.10
  0.30  -2.80   0.20 613.05
  0.30  -2.80   0.40 398.21
  0.30  -2.80   0.60 387.17
  0.30  -2.80   0.80 427.33
  0.30  -2.80   1.00 331.82
  0.50  -2.80   0.20 320.88
  0.50  -2.80   0.40 197.35
  0.50  -2.80   0.60 187.61
  0.50  -2.80   0.80 272.66
  0.50  -2.80   1.00 248.55
  0.75  -2.80   0.20 132.28
  0.75  -2.80   0.40 128.34
  0.75  -2.80   0.60 143.11
  0.75  -2.80   0.80 188.40
  0.75  -2.80   1.00 192.17
  1.00  -2.80   0.20 108.14
  1.00  -2.80   0.40 132.49
  1.00  -2.80   0.60 131.69
  1.00  -2.80   0.80 168.63
  1.00  -2.80   1.00 152.79
  1.25  -2.80   0.20 106.87
  1.25  -2.80   0.40 125.26
  1.25  -2.80   0.60 146.72
  1.25  -2.80   0.80 152.48
  1.25  -2.80   1.00 133.08
  1.50  -2.80   0.20  99.06
  1.50  -2.80   0.40 125.10
  1.50  -2.80   0.60 140.75
  1.50  -2.80   0.80 148.59
  1.50  -2.80   1.00 111.42
  1.70  -2.80   0.20  96.03
  1.70  -2.80   0.40 105.50
  1.70  -2.80   0.60 120.99
  1.70  -2.80   0.80 115.39
  1.70  -2.80   1.00  99.78
  1.90  -2.80   0.20  93.62
  1.90  -2.80   0.40 100.28
  1.90  -2.80   0.60  99.33
  1.90  -2.80   0.80  96.49
  1.90  -2.80   1.00  85.28
  1.00  -2.50   1.00 161.76
  1.00  -2.50   0.20 140.45
  1.00  -2.50   0.40 163.28
  1.00  -2.50   0.60 191.98
  1.00  -2.50   0.80 206.99
  1.25  -2.50   1.00 135.57
  1.25  -2.50   0.20 121.66
  1.25  -2.50   0.40 148.00
  1.25  -2.50   0.60 159.49
  1.25  -2.50   0.80 173.75
  0.75  -2.50   1.00 200.56
  0.75  -2.50   0.20 187.44
  0.75  -2.50   0.40 166.24
  0.75  -2.50   0.60 178.73
  0.75  -2.50   0.80 235.95
  0.10  -2.15   0.20 986.53
  0.10  -2.15   0.40 725.28
  0.10  -2.15   0.60 627.11
  0.10  -2.15   0.80 575.82
  0.10  -2.15   1.00 484.86
  0.30  -2.15   0.20 922.31
  0.30  -2.15   0.40 495.50
  0.30  -2.15   0.60 476.73
  0.30  -2.15   0.80 511.83
  0.30  -2.15   1.00 350.70
  0.50  -2.15   0.20 518.47
  0.50  -2.15   0.40 311.30
  0.50  -2.15   0.60 343.78
  0.50  -2.15   0.80 422.40
  0.50  -2.15   1.00 288.08
  0.75  -2.15   0.20 216.13
  0.75  -2.15   0.40 227.50
  0.75  -2.15   0.60 242.07
  0.75  -2.15   0.80 322.13
  0.75  -2.15   1.00 264.88
  1.00  -2.15   0.20 181.91
  1.00  -2.15   0.40 204.85
  1.00  -2.15   0.60 242.38
  1.00  -2.15   0.80 292.41
  1.00  -2.15   1.00 215.60
  1.25  -2.15   0.20 162.54
  1.25  -2.15   0.40 202.58
  1.25  -2.15   0.60 214.23
  1.25  -2.15   0.80 245.40
  1.25  -2.15   1.00 192.49
  1.50  -2.15   0.20 130.19
  1.50  -2.15   0.40 171.95
  1.50  -2.15   0.60 199.49
  1.50  -2.15   0.80 211.52
  1.50  -2.15   1.00 159.98
  1.70  -2.15   0.20 127.43
  1.70  -2.15   0.40 146.99
  1.70  -2.15   0.60 175.64
  1.70  -2.15   0.80 163.26
  1.70  -2.15   1.00 144.47
  1.90  -2.15   0.20 104.55
  1.90  -2.15   0.40 114.33
  1.90  -2.15   0.60 133.27
  1.90  -2.15   0.80 133.06
  1.90  -2.15   1.00 106.95
  1.00  -2.00   1.00 181.08
  1.00  -2.00   0.20 165.67
  1.00  -2.00   0.40 202.53
  1.00  -2.00   0.60 213.43
  1.00  -2.00   0.80 257.40
  1.25  -2.00   1.00 158.17
  1.25  -2.00   0.20 138.73
  1.25  -2.00   0.40 164.09
  1.25  -2.00   0.60 189.09
  1.25  -2.00   0.80 200.56
  0.75  -2.00   1.00 215.57
  0.75  -2.00   0.20 198.13
  0.75  -2.00   0.40 204.85
  0.75  -2.00   0.60 234.51
  0.75  -2.00   0.80 290.65
  1.00  -1.50   1.00 181.04
  1.00  -1.50   0.20 206.95
  1.00  -1.50   0.40 266.42
