  Configuration Half
  Location of trees (y/H): -4.30 -2.80 -1.40  0.00  1.50  3.00  4.40
   x/H    y/H    z/H     C*
  0.10  -4.60   0.20  87.19
  0.10  -4.60   0.40  88.70
  0.10  -4.60   0.60  87.09
  0.10  -4.60   0.80  84.30
  0.10  -4.60   1.00  73.04
  0.30  -4.60   0.20  78.29
  0.30  -4.60   0.40  83.01
  0.30  -4.60   0.60  81.62
  0.30  -4.60   0.80  78.40
  0.30  -4.60   1.00  52.12
  0.50  -4.60   0.20  73.90
  0.50  -4.60   0.40  77.76
  0.50  -4.60   0.60  76.68
  0.50  -4.60   0.80  67.46
  0.50  -4.60   1.00  41.40
  0.75  -4.60   0.20  68.00
  0.75  -4.60   0.40  65.96
  0.75  -4.60   0.60  62.42
  0.75  -4.60   0.80  58.02
  0.75  -4.60   1.00  39.15
  1.00  -4.60   0.20  52.34
  1.00  -4.60   0.40  56.63
  1.00  -4.60   0.60  53.84
  1.00  -4.60   0.80  50.62
  1.00  -4.60   1.00  34.96
  1.25  -4.60   0.20  32.28
  1.25  -4.60   0.40  38.82
  1.25  -4.60   0.60  43.33
  1.25  -4.60   0.80  43.87
  1.25  -4.60   1.00  31.53
  1.50  -4.60   0.20  19.09
  1.50  -4.60   0.40  25.53
  1.50  -4.60   0.60  28.96
  1.50  -4.60   0.80  30.46
  1.50  -4.60   1.00  26.28
  1.70  -4.60   0.20  12.55
  1.70  -4.60   0.40  16.09
  1.70  -4.60   0.60  19.41
  1.70  -4.60   0.80  23.49
  1.70  -4.60   1.00  19.20
  1.90  -4.60   0.20   8.98
  1.90  -4.60   0.40  10.41
  1.90  -4.60   0.60  12.44
  1.90  -4.60   0.80  15.44
  1.90  -4.60   1.00  14.05
  0.75  -4.30   0.20 104.21
  0.75  -4.30   0.40 101.53
  0.75  -4.30   0.60  85.01
  0.75  -4.30   0.80  77.28
  0.75  -4.30   1.00  35.88
  1.00  -4.30   0.20  79.49
  1.00  -4.30   0.40  79.17
  1.00  -4.30   0.60  74.49
  1.00  -4.30   0.80  73.30
  1.00  -4.30   1.00  31.47
  1.25  -4.30   0.20  54.98
  1.25  -4.30   0.40  65.26
  1.25  -4.30   0.60  60.41
  1.25  -4.30   0.80  48.46
  1.25  -4.30   1.00  28.59
  0.10  -3.90   0.20 252.04
  0.10  -3.90   0.40 202.70
  0.10  -3.90   0.60 175.89
  0.10  -3.90   0.80 173.75
