  Configuration Zero
   x/H    y/H    z/H     C*
  0.10  -4.90   0.20  49.14
  0.10  -4.90   0.40  50.21
  0.10  -4.90   0.60  57.10
  0.10  -4.90   0.80  51.69
  0.10  -4.90   1.00  53.64
  1.00  -4.90   0.20  24.11
  1.00  -4.90   0.40  27.64
  1.00  -4.90   0.60  29.76
  1.00  -4.90   0.80  31.50
  1.00  -4.90   1.00  25.96
  1.25  -4.90   1.00  23.04
  1.25  -4.90   0.20  18.34
  1.25  -4.90   0.40  22.16
  1.25  -4.90   0.60  26.13
  1.25  -4.90   0.80  28.36
  1.50  -4.90   0.20  16.13
  1.50  -4.90   0.40  17.25
  1.50  -4.90   0.60  19.78
  1.50  -4.90   0.80  24.82
  1.50  -4.90   1.00  16.98
  1.70  -4.90   1.00  11.85
  1.70  -4.90   0.20  11.86
  1.70  -4.90   0.40  14.50
  1.70  -4.90   0.60  13.30
  1.70  -4.90   0.80  13.73
  1.90  -4.90   0.20  11.18
  1.90  -4.90   0.40  11.77
  1.90  -4.90   0.60  12.34
  1.90  -4.90   0.80  12.32
  1.90  -4.90   1.00   9.57
  0.30  -4.90   1.00  45.37
  0.30  -4.90   0.20  49.30
  0.30  -4.90   0.40  50.83
  0.30  -4.90   0.60  51.77
  0.30  -4.90   0.80  48.59
  0.50  -4.90   0.20  37.62
  0.50  -4.90   0.40  43.84
  0.50  -4.90   0.60  44.55
  0.50  -4.90   0.80  41.93
  0.50  -4.90   1.00  37.53
  0.75  -4.90   1.00  33.59
  0.75  -4.90   0.20  29.40
  0.75  -4.90   0.40  32.73
  0.75  -4.90   0.60  33.24
  0.75  -4.90   0.80  38.82
  0.10  -4.50   0.20  63.06
  0.10  -4.50   0.40  72.29
  0.10  -4.50   0.60  68.21
  0.10  -4.50   0.80  72.82
  0.10  -4.50   1.00  65.10
  1.00  -4.50   0.20  36.15
  1.00  -4.50   0.40  43.16
  1.00  -4.50   0.60  43.06
  1.00  -4.50   0.80  41.84
  1.00  -4.50   1.00  26.74
  1.25  -4.50   1.00  29.06
  1.25  -4.50   0.20  29.82
  1.25  -4.50   0.40  36.15
  1.25  -4.50   0.60  40.53
  1.25  -4.50   0.80  35.48
  1.50  -4.50   0.20  23.97
  1.50  -4.50   0.40  30.90
  1.50  -4.50   0.60  36.28
  1.50  -4.50   0.80  33.51
  1.50  -4.50   1.00  20.73
  1.70  -4.50   1.00  17.30
  1.70  -4.50   0.20  19.42
  1.70  -4.50   0.40  26.89
  1.70  -4.50   0.60  23.51
  1.70  -4.50   0.80  23.38
  1.90  -4.50   0.20  13.13
  1.90  -4.50   0.40  14.77
  1.90  -4.50   0.60  18.93
  1.90  -4.50   0.80  18.23
  1.90  -4.50   1.00  14.02
  0.30  -4.50   1.00  42.58
  0.30  -4.50   0.20  67.91
  0.30  -4.50   0.40  74.22
  0.30  -4.50   0.60  67.50
  0.30  -4.50   0.80  67.03
  0.50  -4.50   0.20  56.66
  0.50  -4.50   0.40  58.34
  0.50  -4.50   0.60  59.43
  0.50  -4.50   0.80  62.18
  0.50  -4.50   1.00  33.73
  0.75  -4.50   1.00  31.74
  0.75  -4.50   0.20  44.60
  0.75  -4.50   0.40  55.38
  0.75  -4.50   0.60  50.26
  0.75  -4.50   0.80  48.48
  0.10  -4.00   1.00  97.27
  0.10  -4.00   0.20 118.11
  0.10  -4.00   0.40 130.84
  0.10  -4.00   0.60 106.25
  0.10  -4.00   0.80 101.63
  1.00  -4.00   1.00  33.69
  1.00  -4.00   0.20  61.03
  1.00  -4.00   0.40  62.35
  1.00  -4.00   0.60  59.31
  1.00  -4.00   0.80  65.29
  1.25  -4.00   1.00  33.31
  1.25  -4.00   0.20  47.62
  1.25  -4.00   0.40  53.32
  1.25  -4.00   0.60  57.89
  1.25  -4.00   0.80  58.40
  1.50  -4.00   1.00  29.24
  1.50  -4.00   0.20  42.20
  1.50  -4.00   0.40  46.93
  1.50  -4.00   0.60  50.81
  1.50  -4.00   0.80  44.45
  1.70  -4.00   1.00  19.84
  1.70  -4.00   0.20  30.61
  1.70  -4.00   0.40  42.83
  1.70  -4.00   0.60  37.55
  1.70  -4.00   0.80  31.10
  1.90  -4.00   1.00  22.12
  1.90  -4.00   0.20  23.13
  1.90  -4.00   0.40  21.24
  1.90  -4.00   0.60  22.52
  1.90  -4.00   0.80  19.70
  0.30  -4.00   1.00  70.03
  0.30  -4.00   0.20 129.87
  0.30  -4.00   0.40 117.81
  0.30  -4.00   0.60 105.96
  0.30  -4.00   0.80 112.04
  0.50  -4.00   1.00  44.32
  0.50  -4.00   0.20  80.18
  0.50  -4.00   0.40  94.00
  0.50  -4.00   0.60  99.64
  0.50  -4.00   0.80  89.87
  0.75  -4.00   1.00  45.83
  0.75  -4.00   0.20  74.41
  0.75  -4.00   0.40  91.00
  0.75  -4.00   0.60  89.29
  0.75  -4.00   0.80  84.08
  0.10  -3.50   1.00 175.16
  0.10  -3.50   0.20 214.47
  0.10  -3.50   0.40 224.15
